uuid,Void/Retire,Fully specified name:en,Description:en,Data class,Data type,Answers,Members,Same as mappings,Absolute high,Critical high,Normal high,Absolue low,Critical low,Normal low,Units,Display precision,Allow decimals
a8a6aa3a-1350-11df-a1f1-0026b9348838,,"EVIDENCE OF CARDIAC ENLARGEMENT","Physical findings suggestive of cardiomegaly.",Finding,N/A,,,MCL/CIEL: 5158;local: 5158,,,,,,,,,,
a8ae8980-1350-11df-a1f1-0026b9348838,,"INFILTRATE","General descriptive term. When a liquid permeates a tissue by passing through its interstices or pores (ie, pulmonary infiltrate).",Finding,N/A,,,MCL/CIEL: 6049;local: 6049,,,,,,,,,,
a8ae8a66-1350-11df-a1f1-0026b9348838,,"DIFFUSE NON-MILIARY CHANGES","Descriptive finding on chest xray interpretation.  Interpretive findings are diffuse throughout lung fields, but don't have a specific miliary appearance.",Finding,N/A,,,local: 6050;MCL/CIEL: 6050,,,,,,,,,,
a8ae8c1e-1350-11df-a1f1-0026b9348838,,"CAVITARY LESION","Descriptive interpretation of chest radiograph.",Finding,N/A,,,local: 6052;MCL/CIEL: 6052,,,,,,,,,,
a899e890-1350-11df-a1f1-0026b9348838,,"ABNORMAL","General descriptive answer.",Misc,N/A,,,local: 1116;MCL/CIEL: 1116,,,,,,,,,,
54c176e0-aa5e-447a-9cc8-2b29ffe986ad,,"ABNORMAL CHEST X-RAY","General descriptive answer.",Diagnosis,N/A,,,MCL/CIEL: 152526,,,,,,,,,,
a8908192-1350-11df-a1f1-0026b9348838,,"CHEST XRAY, PRELIMINARY FINDINGS","An examination using irradiation for imaging the chest. Preliminary findings as interpreted by the clinical officer.",Test,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;a89a76fc-1350-11df-a1f1-0026b9348838;a89a77ce-1350-11df-a1f1-0026b9348838;a8a6aa3a-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a8ae8980-1350-11df-a1f1-0026b9348838;a8ae8a66-1350-11df-a1f1-0026b9348838;a8ae8c1e-1350-11df-a1f1-0026b9348838;a899e890-1350-11df-a1f1-0026b9348838;a899ea48-1350-11df-a1f1-0026b9348838;54c176e0-aa5e-447a-9cc8-2b29ffe986ad,,,,,,,,,,,,
42e03370-82be-4d62-9056-72bf56d158b9,,"GOVERNMENT OF KENYA SCORE","A diagnostic guideline standard for tuberculosis.",Misc,N/A,,,,,,,,,,,,,
a896f3a6-1350-11df-a1f1-0026b9348838,,"POSITIVE","General finding of a positive result.",Misc,N/A,,,MCL/CIEL: 703;local: 703,,,,,,,,,,
a896d2cc-1350-11df-a1f1-0026b9348838,,"NEGATIVE","Response to a finding or test result.",Misc,N/A,,,MCL/CIEL: 664;local: 664,,,,,,,,,,
a89a7ae4-1350-11df-a1f1-0026b9348838,,"INDETERMINATE","Descriptive term: not precisely defined, determinable, or established.",Misc,N/A,,,local: 1138;MCL/CIEL: 1138,,,,,,,,,,
741517cf-8bac-4755-b289-8dd2a2df7962,,"MYCOBACTERIUM TUBERCULOSIS FINDING","Findings on mycobacterium tuberculosis (MTB), which is transmitted from person to person via droplets from the throat and lungs of people with active Tuberculosis. ",Test,Coded,a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838;a89c3d8e-1350-11df-a1f1-0026b9348838;a89a7ae4-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
f2516638-20a6-4c67-8e34-8b2481c091b1,,"RIFAMPICIN RESISTANCE FINDING ","Finding on bacterial resistance to rifampin.",Test,Coded,a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838;a89c3d8e-1350-11df-a1f1-0026b9348838;a89a7ae4-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
37edc5ca-3aba-481b-a8ef-821059978a8e,,"ON THE SPOT","Done or occurring at the time or place in question.",Misc,N/A,,,,,,,,,,,,,
e8788b29-d8f1-447f-8943-f6c8e5fa3887,,"SAMPLE TAKEN","A question to ask when the sample was taken. ",Question,Coded,a89ea538-1350-11df-a1f1-0026b9348838;37edc5ca-3aba-481b-a8ef-821059978a8e,,,,,,,,,,,,
9364c765-eeec-4b03-b938-ea7874560d88,,"GENEXPERT","The Xpert MTB/RIF is a cartridge-based, automated diagnostic test that can identify Mycobacterium tuberculosis (MTB) and resistance to rifampicin (RIF).",ConvSet,N/A,,741517cf-8bac-4755-b289-8dd2a2df7962;f2516638-20a6-4c67-8e34-8b2481c091b1;e8788b29-d8f1-447f-8943-f6c8e5fa3887,MCL/CIEL: 164945,,,,,,,,,,
8b24a5d6-6020-4711-8aa6-b4051dfc3a68,,"POSITIVE RESULT OF SPUTUM FOR ACID FAST BACILLI","Positive result of Sputum For Acid Fast Bacilli",Finding,N/A,,,,,,,,,,,,,
a8a0d312-1350-11df-a1f1-0026b9348838,,"POSITIVE SPUTUM FOR ACID FAST BACILLI","Positive result of SPUTUM FOR ACID FAST BACILLI",Finding,N/A,,,,,,,,,,,,,
a8a45ca8-1350-11df-a1f1-0026b9348838,,"3+","Generic answer",Misc,N/A,,,MCL/CIEL: 1364,,,,,,,,,,
a8a45bd6-1350-11df-a1f1-0026b9348838,,"2+","Generic answer",Misc,N/A,,,,,,,,,,,,,
a8a45ab4-1350-11df-a1f1-0026b9348838,,"1+","General answer",Misc,N/A,,,MCL/CIEL: 1362,,,,,,,,,,
9f28fce5-b618-4c90-877b-ec0869103c98,,"SCANTY","Qualifier value for the quantity.",Misc,N/A,,,MCL/CIEL: 159985,,,,,,,,,,
a8945d4e-1350-11df-a1f1-0026b9348838,,"SPUTUM FOR ACID FAST BACILLI","Ziehl Nielsen stain for tuberculosis, performed on a deep sputum sample from the respiratory tract.",Test,Coded,a89c3d8e-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838;a896f3a6-1350-11df-a1f1-0026b9348838;a8a45ca8-1350-11df-a1f1-0026b9348838;a8a45bd6-1350-11df-a1f1-0026b9348838;a8a45ab4-1350-11df-a1f1-0026b9348838;a89a7ae4-1350-11df-a1f1-0026b9348838;a899ea48-1350-11df-a1f1-0026b9348838;9f28fce5-b618-4c90-877b-ec0869103c98,,MCL/CIEL: 307;local: 307,,,,,,,,,,
0b4e9aa1-e470-46d1-9d2d-0d8a475561b9,,"MYCOBACTERIUM TUBERCULOSIS","Type of mycobacterium which can cause tuberculosis.",Misc,N/A,,,,,,,,,,,,,
a01149c4-7f0e-4d27-8f42-dc019e3330ec,,"NONTUBERCULOSIS MYCOBACTERIA","Nontuberculous mycobacteria (NTM) are all the other mycobacteria which can cause pulmonary disease resembling tuberculosis, lymphadenitis, skin disease, or disseminated disease, but not tuberculosis. ",Misc,N/A,,,,,,,,,,,,,
a8a462a2-1350-11df-a1f1-0026b9348838,,"CULTURE FOR ACID FAST BACILLI","The cultures are used to grow acid-fast bacilli in the laboratory. Body fluid or tissue samples are decontaminated to remove the normal respiratory bacteria, digested to emulsify the mucus, and concentrated to increase the number of bacteria before being introduced into a nutrient environment and incubated. Since mycobacteria grow slowly, positive identification of the species that is/are present may take days to several weeks, while negative results (no mycobacterial growth) can take up to 6 to 8 weeks to confirm.",Test,Coded,a899ea48-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838;a89c3d8e-1350-11df-a1f1-0026b9348838;0b4e9aa1-e470-46d1-9d2d-0d8a475561b9;a01149c4-7f0e-4d27-8f42-dc019e3330ec;a896f3a6-1350-11df-a1f1-0026b9348838,,MCL/CIEL: 1465;local: 2311,,,,,,,,,,
a8a0d498-1350-11df-a1f1-0026b9348838,,"TUBERCULOSIS DIAGNOSED BASED ON","Question on encounter form:  &quot;TUBERCULOSIS is/was diagnosed based on:&quot;",Question,Coded,a899e0ac-1350-11df-a1f1-0026b9348838;a8a0d3d0-1350-11df-a1f1-0026b9348838;a89d00c0-1350-11df-a1f1-0026b9348838;a8a0d196-1350-11df-a1f1-0026b9348838;a8a0d0ce-1350-11df-a1f1-0026b9348838;a8985fc0-1350-11df-a1f1-0026b9348838;a8a0d254-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a8908192-1350-11df-a1f1-0026b9348838;a89807f0-1350-11df-a1f1-0026b9348838;42e03370-82be-4d62-9056-72bf56d158b9;9364c765-eeec-4b03-b938-ea7874560d88;8b24a5d6-6020-4711-8aa6-b4051dfc3a68;a8a0d312-1350-11df-a1f1-0026b9348838;a896f3a6-1350-11df-a1f1-0026b9348838;a896d2cc-1350-11df-a1f1-0026b9348838;a8945d4e-1350-11df-a1f1-0026b9348838;a8a462a2-1350-11df-a1f1-0026b9348838;0b4e9aa1-e470-46d1-9d2d-0d8a475561b9,,MCL/CIEL: 163752,,,,,,,,,,
55fc49a8-48c7-4f4b-b0da-15b68e63b0d7,,"OUTCOME FROM TUBERCULOSIS REFERRAL","What is the outcome from TB Referral?",Test,Coded,a890a96a-1350-11df-a1f1-0026b9348838;a899e7b4-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a9cc70d0-051e-418a-84e7-bbf8009c204b,,"HOUSEHOLD CONTACT INVESTIGATION INITIATED, POSITIVE SMEAR","If patient is tested with positive smear, did invitation get send out to patient's household members for testing?",Question,Coded,a899b35c-1350-11df-a1f1-0026b9348838;a899b42e-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a8a32324-1350-11df-a1f1-0026b9348838,,"TUBERCULOSIS DEFAULTER REGIMEN BY USING STREPTOMYCIN","When TB patient was defaulted, streptomycin is used as defaulter regimen.",Misc,N/A,,,,,,,,,,,,,
dd01765f-7e26-4704-a790-5eb049670571,,"CONTINUE TO RECEIVE MEDICATIONS FROM ANOTHER LOCATION","Indicates that the patient has been, and will continue to, pick up their medications or seek care from a location other than Ampath.",Misc,N/A,,,,,,,,,,,,,
a89c1fd4-1350-11df-a1f1-0026b9348838,,"TUBERCULOSIS TREATMENT PLAN","Question on encounter form. Collects information related to tuberculosis drug therapy plans.",Question,Coded,a89b7908-1350-11df-a1f1-0026b9348838;a899e0ac-1350-11df-a1f1-0026b9348838;a89b77aa-1350-11df-a1f1-0026b9348838;a89b7d36-1350-11df-a1f1-0026b9348838;a89b7c50-1350-11df-a1f1-0026b9348838;a898c938-1350-11df-a1f1-0026b9348838;a8a00220-1350-11df-a1f1-0026b9348838;a8a32324-1350-11df-a1f1-0026b9348838;a8a3243c-1350-11df-a1f1-0026b9348838;a89ccf6a-1350-11df-a1f1-0026b9348838;a89cd032-1350-11df-a1f1-0026b9348838;a8a00158-1350-11df-a1f1-0026b9348838;dd01765f-7e26-4704-a790-5eb049670571,,local: 1268;MCL/CIEL: 1268,,,,,,,,,,
a89fca44-1350-11df-a1f1-0026b9348838,,"NUMBER OF DAYS OF MEDICATION DISPENSED","Question on Encounter Form to determine the number of days the medications dispensed should last if taken as prescribed",Question,Numeric,,,,,,,,,,,,False,
a89c218c-1350-11df-a1f1-0026b9348838,,"TUBERCULOSIS TREATMENT STARTED","Part of the encounter form plan. Answers are drugs started at the end of the particular encounter.",Question,Coded,a8952e4a-1350-11df-a1f1-0026b9348838;a89b1ca6-1350-11df-a1f1-0026b9348838;a897d0be-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;2c062375-36a7-4112-aec6-f8498cd344a7;3cc27f8b-f501-4d6b-b9a9-5aaf3168455f;a8861702-ab74-480d-aa01-46fe2f75e426;119530a9-620e-41c9-914f-4a111f42dbbf;a897d1a4-1350-11df-a1f1-0026b9348838;b8aa06ca-93c6-40ea-b144-c74f841926f4;b150ccdc-e7ec-4f99-b592-6f3fa73b3aea;afbcd84b-6026-4496-86d1-7ea7e06a8993;a896cc00-1350-11df-a1f1-0026b9348838;c4ec5b3c-1647-4d28-b948-7a9760689bb8;a8ac5f2a-1350-11df-a1f1-0026b9348838;47f27b85-d44e-4054-8352-c1f709dc5e8d;a899e19c-1350-11df-a1f1-0026b9348838;a7f2f0ef-6f7c-4c31-910b-3491d1204fbd;a8971c64-1350-11df-a1f1-0026b9348838;a8a382ba-1350-11df-a1f1-0026b9348838;a8a3243c-1350-11df-a1f1-0026b9348838;a0795f11-c9c7-4f3c-af19-7518c5b0df19;a899f51a-1350-11df-a1f1-0026b9348838,,local: 1270;MCL/CIEL: 1270,,,,,,,,,,
a89fe6f0-1350-11df-a1f1-0026b9348838,,"TB TREATMENT DRUGS STARTED, DETAILED","A concept set for storing the name(s) of TB medications started, the amount dispensed, and dosage information.",Misc,N/A,,a89c1fd4-1350-11df-a1f1-0026b9348838;a89fca44-1350-11df-a1f1-0026b9348838;a8a07386-1350-11df-a1f1-0026b9348838;a8a0744e-1350-11df-a1f1-0026b9348838;a89c218c-1350-11df-a1f1-0026b9348838;a8afdf4c-1350-11df-a1f1-0026b9348838;a8a06fc6-1350-11df-a1f1-0026b9348838;a8a063c8-1350-11df-a1f1-0026b9348838;a8a0630a-1350-11df-a1f1-0026b9348838,,,,,,,,,,,
79e5bb87-2eba-4253-a0bc-338400f72e17,,"TUBERCULOSIS INDUCTION TREATMENT PHASE COMPLETION","Completion of tuberculosis induction treatment phase",Misc,N/A,,,,,,,,,,,,,
259ec654-0991-43ea-b778-ed21716ce21f,,"TUBERCULOSIS TREATMENT COMPLETION","Completion of tuberculosis treatment",Misc,N/A,,,,,,,,,,,,,
a89c20b0-1350-11df-a1f1-0026b9348838,,"REASON TUBERCULOSIS TREATMENT STOPPED","Question on encounter form. Part of the plan gathers a reason for stopping TB prophylactic drugs. This concept captures that information.",Question,Coded,a898cfe6-1350-11df-a1f1-0026b9348838;a89c1ef8-1350-11df-a1f1-0026b9348838;a890d1ba-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;79e5bb87-2eba-4253-a0bc-338400f72e17;259ec654-0991-43ea-b778-ed21716ce21f;a8909e8e-1350-11df-a1f1-0026b9348838;ecafa614-49c5-4eba-84c7-b85b0d9e2c46;a89b7c50-1350-11df-a1f1-0026b9348838;c0c9eab3-46f6-453c-b29d-dc1c242317c5,,local: 1269;MCL/CIEL: 1269,,,,,,,,,,
a8a078cc-1350-11df-a1f1-0026b9348838,,"REASON TUBERCULOSIS TREATMENT STOPPED, DETAILED","A concept set for storing "Reason Tuberculosis Treatment Stopped", "Toxicity Reasons", and "Freetext for Other".",ConvSet,N/A,,a89c20b0-1350-11df-a1f1-0026b9348838;a8a032fe-1350-11df-a1f1-0026b9348838;a8a06fc6-1350-11df-a1f1-0026b9348838,,,,,,,,,,,
15316528-adb9-4c33-b21f-2817f0cad769,,"TUBERCULOSIS TREATMENT RESTART AFTER BEING DEFAULTED","Restart TB treatment from the beginning after being defaulted from Induction Phase (weekly collection of drugs): missing drugs for more than 1 week or Continuation Phase (2 weekly collection of drugs): missing drugs for more than 2 weeks. ",Misc,N/A,,,,,,,,,,,,,
f6951199-560d-414a-bb5b-1150f07fcea7,,"TUBERCULOSIS TREATMENT RESTART AFTER REGIMEN FAILURE","Restart TB treatment after regimen failure - Sputum smear +ve at 3rd/5th/6th month; no improvement in clinical symptoms despite correct treatment (including where access to microbiological samples is unavailable); or cultures become positive after previous smear –ve (cultures are only done in smear –ve patients).",Misc,N/A,,,,,,,,,,,,,
769822b2-1f1f-4cbb-8371-0e3949e060cc,,"NEW TUBERCULOSIS TREATMENT","Commencement of TB treatment in a person who has never been treated for TB before or who used anti-TB drugs for less than 1 month.",Misc,N/A,,,MCL/CIEL: 1687;local: 6977,,,,,,,,,,
18ac99bf-0805-4929-8d0b-924455850a00,,"TUBERCULOSIS TREATMENT RETREATED AFTER RELAPSE OR RE-INFECTION","TB re-treatment after relapse: recurrence of TB within 2 years of successful completion of treatment which was accompanied by microbiological and/or clinical response or re-infection: recurrence after more than 2 years successful completion of treatment which was accompanied by microbiological and/or clinical response.",Misc,N/A,,,MCL/CIEL: 1688;local: 6980,,,,,,,,,,
749d07cb-4994-4ce9-a39c-8a655a487fdd,,"REASON TUBERCULOSIS  TREATMENT STARTED","Part of the plan gathers a reason for starting TB treatment.",Question,Coded,18ac99bf-0805-4929-8d0b-924455850a00;769822b2-1f1f-4cbb-8371-0e3949e060cc;f6951199-560d-414a-bb5b-1150f07fcea7;a899b50a-1350-11df-a1f1-0026b9348838;15316528-adb9-4c33-b21f-2817f0cad769;a8aaf3e2-1350-11df-a1f1-0026b9348838;a8a3243c-1350-11df-a1f1-0026b9348838,,MCL/CIEL: 1689;local: 6981,,,,,,,,,,
a89c2f42-1350-11df-a1f1-0026b9348838,,"AMPATH","Academic Model for the Prevention and Treatment of HIV/AIDS.",Misc,N/A,,,local: 1286;MCL/CIEL: 1286,,,,,,,,,,
16db21cd-10cb-4c31-bb5a-b7619bfbea66,,"TUBERCULOSIS MEDICATION PICKUP LOCATION","What is the Tuberculosis medication pickup location?",Question,Coded,a89c2f42-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a899e0ac-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
b55a6d42-3189-4d4c-97bf-772dfe17b887,,"TUBERCULOSIS MEDICATION PICKUP LOCATION, DETAILED","A convenient question set to include "TUBERCULOSIS MEDICATOIN PICKUP LOCATION" and "FREETEXT for other".",ConvSet,N/A,,16db21cd-10cb-4c31-bb5a-b7619bfbea66;a8a06fc6-1350-11df-a1f1-0026b9348838,,,,,,,,,,,
a8a08286-1350-11df-a1f1-0026b9348838,,"NUMBER OF MILLILITER","Number of milliliter.",Question,Numeric,,,,1000.0,,,0.0,,,ml,,True,
a8a05f4a-1350-11df-a1f1-0026b9348838,,"NUMBER OF WEEKS","Generic temporal answer to question:  Number of weeks",Question,Numeric,,,,52.0,,,0.0,,,weeks,,False,
1682a920-c93d-4aad-b9cb-4a2b2c41ff1a,,"PATIENT REPORTED CURRENT MEDICATION CAUSING SIDE EFFECT","The current medications which patient reports that they are having side effects.",Drug,Coded,,,,,,,,,,,,,
30fc0cea-b6c7-48cc-bbfb-4eb53170ce41,,"PATIENT REPORTED SIDE EFFECT OF TAKING ANY CURRENT MEDICATION","Patient reported any side effect or toxicity of taking current medication?",Question,Coded,a899b42e-1350-11df-a1f1-0026b9348838;a899b35c-1350-11df-a1f1-0026b9348838;a899b50a-1350-11df-a1f1-0026b9348838,,local: 6836;MCL/CIEL: 165273,,,,,,,,,,
a89fc120-1350-11df-a1f1-0026b9348838,,"MEDICATION NAME, FREETEXT","The name of the medication in freetext.",Question,Text,,,,,,,,,,,,,
a89ac792-1350-11df-a1f1-0026b9348838,,"HALF","Descriptive quantifying term.  50% of the total amount.",Misc,N/A,,,local: 1161;MCL/CIEL: 1161,,,,,,,,,,
1c8f62e8-6b78-4499-a3c5-2c5fb3bb276e,,"NUMBER OF PILLS TAKEN IN THE LAST WEEK, ANY MEDICATION, QUALITATIVE","Generic question about number of missed pills a patient took during the past week.",Question,Coded,a899e0ac-1350-11df-a1f1-0026b9348838;a89ac6b6-1350-11df-a1f1-0026b9348838;a89ac792-1350-11df-a1f1-0026b9348838;a89ac86e-1350-11df-a1f1-0026b9348838;a89ac94a-1350-11df-a1f1-0026b9348838,,,,,,,,,,,,
a8a07f8e-1350-11df-a1f1-0026b9348838,,"TABLET, DOSAGE FORM","A solid dosage form containing a medicinal substance.",Misc,N/A,,,MCL/CIEL: 1513;local: 1936,,,,,,,,,,
a8a0810a-1350-11df-a1f1-0026b9348838,,"CAPSULE, DOSAGE FORM","An enclosing structure, as a soluble container enclosing a dose of medicine.",Misc,N/A,,,MCL/CIEL: 1608;local: 1938,,,,,,,,,,
a8a07ed0-1350-11df-a1f1-0026b9348838,,"SYRUP, DOSAGE FORM","An oral formulation where a concentrated solution of sugar in a liquid (usually water), used as a vehicle (carrier) of a medicinal substance. This is usually done to mask bitterness and add flavor.",Misc,N/A,,,local: 1935;MCL/CIEL: 1515,,,,,,,,,,
a8a0804c-1350-11df-a1f1-0026b9348838,,"POWDERS, DOSAGE FORM","A single dose of a powdered drug.",Misc,N/A,,,MCL/CIEL: 162453;local: 1937,,,,,,,,,,
0af16f27-aaa0-4bb1-b1a6-43734dab1a5c,,"SOLUTION, DOSAGE FORM","A liquid preparation of one or more soluble chemical substances usually dissolved in water.",Misc,N/A,,,MCL/CIEL: 162461;local: 7464,,,,,,,,,,
08709444-ac83-4af2-a8e5-86d91bb565b3,,"ORAL SUSPENSION, DOSAGE FORM","An oral formulation where finely divided undissolved solid particles that are medicinal are dispersed in a liquid vehicle.\nMost suspensions are orally administered.  However, it is possible to have other routes of administration, such as topical suspension (e.g. calamine lotion).",Misc,N/A,,,MCL/CIEL: 1940;local: 7567,,,,,,,,,,
fd13451b-b705-4768-b47f-a10e0745380c,,"DEPOT, DOSAGE FORM","A substance in a form that tends to keep it at the site of injection so that absorption occurs over a prolonged period.  This provides a pharmacological agent which releases its active compound in a consistent way over a long period of time.",Misc,N/A,,,,,,,,,,,,,
0c5cfbf4-d565-454d-a832-5ec03125a319,,"DEPOT FOR INJECTION, DOSAGE FORM","A substance in a form that tends to keep it at the site of injection so that absorption occurs over a prolonged period, specifically prepared to be administered via an injection. ",Misc,N/A,,,,,,,,,,,,,
e5e1fa57-2b8b-4aef-9b8c-8378b5382791,,"SOLUTION FOR INJECTION, DOSAGE FORM","A liquid preparation of one or more soluble chemical substances usually dissolved in water, specifically prepared to be administered via an injection.",Misc,N/A,,,MCL/CIEL: 1516;local: 7601,,,,,,,,,,
2503d4fb-a633-4ea3-9879-8ebb759c573e,,"RECONSTITUTED POWDER FOR INJECTION, DOSAGE FORM","A single dose of a powdered drug, which has been reconstituted so that it may be administered via injection.",Misc,N/A,,,local: 7602;MCL/CIEL: 162778,,,,,,,,,,
4b33292d-e623-4772-99aa-2c6a92616685,,"SUSPENSION FOR INJECTION, DOSAGE FORM","A formulation where finely divided undissolved solid particles that are medicinal are dispersed in a liquid vehicle, prepared to be administered via an injection.",Misc,N/A,,,local: 7613;MCL/CIEL: 1939,,,,,,,,,,
2c731799-e52f-40cd-864d-fb12a89a1f81,,"CREAM, DOSAGE FORM","A thick liquid or semisolid cosmetic or medical preparation applied to the skin.",Misc,N/A,,,local: 7614;MCL/CIEL: 162413,,,,,,,,,,
20f05920-0a4f-4708-af09-b20fe7185576,,"LOTION, DOSAGE FORM","A thick, smooth liquid preparation applied to the skin for medicinal or cosmetic purposes.",Misc,N/A,,,local: 7615;MCL/CIEL: 162427,,,,,,,,,,
56624b7a-6f24-40aa-af30-cad799d110c5,,"METERED-DOSE INHALER, DOSAGE FORM","A metered-dose inhaler (MDI) is a device that delivers a specific amount of medication to the lungs, in the form of a short burst of aerosolized medicine that is inhaled by the patient.",Misc,N/A,,,local: 7617;MCL/CIEL: 162767,,,,,,,,,,
89791287-a474-4a34-b8a5-7357da93ebec,,"OINTMENT, DOSAGE FORM","A smooth oily preparation that is rubbed on the skin for medicinal or cosmetic purposes.",Misc,N/A,,,local: 7618;MCL/CIEL: 1517,,,,,,,,,,
5185e5be-74af-43d1-ab6e-8bacdb835d5c,,"SUPPOSITORY, DOSAGE FORM","A solid medical preparation in a roughly conical or cylindrical shape, designed to be inserted into the rectum or vagina to dissolve.",Misc,N/A,,,local: 7619;MCL/CIEL: 1518,,,,,,,,,,
3fbfabc6-9e78-4c70-85ee-8e66fc2418c5,,"DROPS, DOSAGE FORM","Liquid medicine to be measured or applied in very small amounts.",Misc,N/A,,,,,,,,,,,,,
cf2d112e-dfa7-45df-9ff2-25f43bab80df,,"EMULSION, DOSAGE FORM","A fine dispersion of minute droplets of one liquid in another in which it is not soluble or miscible.",Misc,N/A,,,,,,,,,,,,,
48406971-7cb4-43d2-8331-9858a1ef6594,,"INJECTION NOS, DRUG ROUTE","Any kind of insertion of liquid into the body with a syringe.",Misc,N/A,,,,,,,,,,,,,
bcf5e6df-0229-4562-9d53-9432afc68d23,,"DELAYED RELEASE GRANULES, DOSAGE FORM","A granule is a small particle or grain. This type of granule has an enteric or other type of coating that delays the release of the drug until it reaches the intestines.",Misc,N/A,,,,,,,,,,,,,
a8a081c8-1350-11df-a1f1-0026b9348838,,"DOSAGE FORM","Generic question: "What kind of dosage form of the medication?"",Question,Coded,a8a07f8e-1350-11df-a1f1-0026b9348838;a8a0810a-1350-11df-a1f1-0026b9348838;a8a07ed0-1350-11df-a1f1-0026b9348838;a8a0804c-1350-11df-a1f1-0026b9348838;0af16f27-aaa0-4bb1-b1a6-43734dab1a5c;08709444-ac83-4af2-a8e5-86d91bb565b3;fd13451b-b705-4768-b47f-a10e0745380c;0c5cfbf4-d565-454d-a832-5ec03125a319;e5e1fa57-2b8b-4aef-9b8c-8378b5382791;2503d4fb-a633-4ea3-9879-8ebb759c573e;4b33292d-e623-4772-99aa-2c6a92616685;2c731799-e52f-40cd-864d-fb12a89a1f81;20f05920-0a4f-4708-af09-b20fe7185576;56624b7a-6f24-40aa-af30-cad799d110c5;89791287-a474-4a34-b8a5-7357da93ebec;5185e5be-74af-43d1-ab6e-8bacdb835d5c;3fbfabc6-9e78-4c70-85ee-8e66fc2418c5;cf2d112e-dfa7-45df-9ff2-25f43bab80df;48406971-7cb4-43d2-8331-9858a1ef6594;bcf5e6df-0229-4562-9d53-9432afc68d23,,MCL/CIEL: 1519;SNOMED CT: 421967003,,,,,,,,,,
db0c5937-3874-4eae-9566-9a645ad7ac65,,"ORAL ADMINISTRATION, DRUG ROUTE","Oral administration (per os) is a route of administration where a substance is taken through the mouth.",Misc,N/A,,,,,,,,,,,,,
a8aad9c6-9b54-49f7-9cd1-0d165cd12af4,,"IV FLUID INJECTION, DRUG ROUTE","Intravenous therapy or IV therapy is the infusion of liquid substances directly into a vein. ",Drug,N/A,,,,,,,,,,,,,
61391823-27aa-4d7a-aac3-ef2b808135a9,,"INTRAMUSCULAR INJECTION, DRUG ROUTE","Intramuscular injection (IM) is the injection of a medicine directly into a muscle.",Misc,N/A,,,,,,,,,,,,,
a8d2a6cb-1652-4d8e-a830-226ded345345,,"SUBCUTANEOUS INJECTION, DRUG ROUTE ","A subcutaneous injection is administered into the fat layer just beneath the dermis of the skin.",Misc,N/A,,,,,,,,,,,,,
3fa5c3a8-41e5-493a-9ab7-7177fc6f8c82,,"INHALATION, DRUG ROUTE","The administration of drugs by the respiratory route. It includes insufflation into the respiratory tract.",Misc,N/A,,,,,,,,,,,,,
7ef97361-e7e2-4079-92a3-584b5a5cd0f5,,"INTRANASAL, DRUG ROUTE","Delivery of medications through the nasal mucosa.",Misc,N/A,,,,,,,,,,,,,
fafacc32-0d0b-4af7-bb90-e5d76d979cd4,,"MUCOSAL, DRUG ROUTE","Delivery of a drug or other substance into the body through the epithelium lining of mucous membrane involved with absorption and secretion.",Misc,N/A,,,,,,,,,,,,,
197a4dff-79ad-4f45-a27a-9bcacb9ddde7,,"OPHTHALMIC, DRUG ROUTE","Application of pharmaceutically active agents on the tissues of the eye ball.",Misc,N/A,,,,,,,,,,,,,
661f066f-7df3-4e23-9477-9a72f0553110,,"RECTAL, DRUG ROUTE","The insertion of drugs into the rectum, usually for confused or incompetent patients, like children, infants, and the very old or comatose.",Misc,N/A,,,,,,,,,,,,,
7528b136-e218-4102-8559-4b50f92602ba,,"TOPICAL, DRUG ROUTE","The application of drug preparations to the surfaces of the body, especially the skin.",Misc,N/A,,,,,,,,,,,,,
69d2064a-f3e7-4f98-b35e-a18bfd4a4627,,"INTRARTERIAL INJECTION, DRUG ROUTE","Any medication administration that involves injecting a drug directly into an artery.",Misc,N/A,,,,,,,,,,,,,
924cee82-cb74-46ee-bdb9-af894f2a48e4,,"INTRAPERITONEAL INJECTION, DRUG ROUTE","Any medication administration that involves injecting a drug directly into the abdominal cavity.",Misc,N/A,,,,,,,,,,,,,
